Stazione,Descrizione,Inquinante,Data,Media_Giornaliera,Ore_Disponibili,latitude,longitude
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-04,37.35,22,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-05,43.35652173913043,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-06,59.2478260869565,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-07,55.12608695652173,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-08,52.8304347826087,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-09,43.3,22,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-10,54.45217391304348,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-11,65.15217391304348,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-12,58.58695652173914,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-13,54.91739130434783,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-14,45.917391304347824,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-15,30.59565217391304,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-16,36.63913043478261,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-17,57.31304347826086,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-18,44.90869565217392,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-19,34.63478260869565,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-20,38.48695652173913,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-21,57.486956521739124,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-22,60.8086956521739,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-23,54.356521739130436,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-24,53.91304347826087,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-25,36.3304347826087,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-26,31.665217391304346,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-27,43.54782608695652,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-02-28,49.07391304347827,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-01,47.07826086956521,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-02,17.126086956521736,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-03,17.40434782608696,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-04,46.29090909090909,22,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-05,52.03043478260869,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-06,58.32608695652175,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-07,44.117391304347834,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-08,54.54782608695652,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-09,47.252173913043485,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-10,41.54782608695653,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-11,39.70454545454546,22,40.8536064,14.25115
